z,x,y
0.652583658695221,0,0
0.6613336354494095,1,0
0.6650935262441635,2,0
0.6627202928066254,3,0
0.6622592955827713,4,0
0.671360969543457,5,0
0.6710680574178696,6,0
0.6683324575424194,7,0
0.6716962456703186,8,0
0.6848016977310181,9,0
0.6918192505836487,10,0
0.6890936642885208,11,0
0.6894883811473846,12,0
0.6964061558246613,13,0
0.7008062452077866,14,0
0.689533457159996,15,0
0.6815153211355209,16,0
0.6773120313882828,17,0
0.6689554005861282,18,0
0.6483416259288788,19,0
0.6359572559595108,20,0
0.6243039667606354,21,0
0.6182753965258598,22,0
0.6220310106873512,23,0
0.6194151341915131,24,0
0.6254797875881195,25,0
0.6355367600917816,26,0
0.6388684809207916,27,0
0.6491527110338211,28,0
0.6518914848566055,29,0
0.6414143592119217,30,0
0.6372097283601761,31,0
0.631805956363678,32,0
0.6323070973157883,33,0
0.628945991396904,34,0
0.6226834356784821,35,0
0.622065506875515,36,0
0.643342062830925,37,0
0.646381139755249,38,0
0.6484328359365463,39,0
0.6431784927845001,40,0
0.6377272307872772,41,0
0.6268348693847656,42,0
0.6212551891803741,43,0
0.6068223193287849,44,0
0.5901662036776543,45,0
0.577349454164505,46,0
0.5752461552619934,47,0
0.572544664144516,48,0
0.5797241106629372,49,0
0.5817387253046036,50,0
0.5895533338189125,51,0
0.5988310500979424,52,0
0.6046190038323402,53,0
0.6086059585213661,54,0
0.610994316637516,55,0
0.6180184558033943,56,0
0.6260136216878891,57,0
0.6304383873939514,58,0
0.6329101026058197,59,0
0.6440094411373138,60,0
0.6424912214279175,61,0
0.6394280195236206,62,0
0.6341834664344788,63,0
0.6351942867040634,64,0
0.6477878540754318,65,0
0.6499145328998566,66,0
0.6456557363271713,67,0
0.6551133543252945,68,0
0.6794441789388657,69,0
0.6957162618637085,70,0
0.7117767184972763,71,0
0.7305268198251724,72,0
0.735571414232254,73,0
0.7425773441791534,74,0
0.7444414049386978,75,0
0.7431173324584961,76,0
0.7541541755199432,77,0
0.7551926970481873,78,0
0.7587554454803467,79,0
0.7639724910259247,80,0
0.7690979242324829,81,0
0.7701813876628876,82,0
0.7673935890197754,83,0
0.7639835476875305,84,0
0.7547836601734161,85,0
0.7496494203805923,86,0
0.7434242516756058,87,0
0.7378321439027786,88,0
0.7363843023777008,89,0
0.7297604531049728,90,0
0.7247367352247238,91,0
0.7247284650802612,92,0
0.7217581868171692,93,0
0.7133257538080215,94,0
0.7003457099199295,95,0
0.6957534402608871,96,0
0.6857636868953705,97,0
0.6831900030374527,98,0
0.6692111492156982,99,0
0.6677117496728897,100,0
0.6653569489717484,101,0
0.6586421877145767,102,0
0.6530382335186005,103,0
0.6487598717212677,104,0
0.6393163055181503,105,0
0.6336811482906342,106,0
0.6323271840810776,107,0
0.6427772492170334,108,0
0.6468196660280228,109,0
0.6486109495162964,110,0
0.6469168961048126,111,0
0.6463024914264679,112,0
0.6462276577949524,113,0
0.6494532525539398,114,0
0.6413805931806564,115,0
0.631239503622055,116,0
0.6257864981889725,117,0
0.6144195050001144,118,0
0.6127368435263634,119,0
0.610973484814167,120,0
0.6075511202216148,121,0
0.5975009724497795,122,0
0.5928764939308167,123,0
0.5884216725826263,124,0
0.6020437106490135,125,0
0.6111393496394157,126,0
0.6068988293409348,127,0
0.6044599264860153,128,0
0.6013766974210739,129,0
0.5988792777061462,130,0
0.5996564850211143,131,0
0.6066213473677635,132,0
0.610776998102665,133,0
0.6075781285762787,134,0
0.5911408290266991,135,0
0.5906040444970131,136,0
0.5916987806558609,137,0
0.5888885408639908,138,0
0.5849603191018105,139,0
0.5870338901877403,140,0
0.5836119279265404,141,0
0.5803288519382477,142,0
0.5771313086152077,143,0
0.5733100473880768,144,0
0.5790065973997116,145,0
0.583942323923111,146,0
0.5867182463407516,147,0
0.585429385304451,148,0
0.5814347639679909,149,0
0.6641052812337875,0,1
0.670112356543541,1,1
0.6730605512857437,2,1
0.6735479831695557,3,1
0.6734178066253662,4,1
0.6738726943731308,5,1
0.6763066053390503,6,1
0.6749528050422668,7,1
0.6780492812395096,8,1
0.6848680078983307,9,1
0.6950208097696304,10,1
0.6909644305706024,11,1
0.6867202073335648,12,1
0.6855379492044449,13,1
0.6913329660892487,14,1
0.6861584037542343,15,1
0.6813351064920425,16,1
0.6748345047235489,17,1
0.6708169430494308,18,1
0.656686082482338,19,1
0.6443679481744766,20,1
0.6263402551412582,21,1
0.6176315099000931,22,1
0.61827801913023,23,1
0.609943076968193,24,1
0.6065970659255981,25,1
0.614334836602211,26,1
0.6257919520139694,27,1
0.6351940929889679,28,1
0.6342529356479645,29,1
0.624663919210434,30,1
0.625090166926384,31,1
0.6247047260403633,32,1
0.6247031316161156,33,1
0.6215668991208076,34,1
0.6185743436217308,35,1
0.626057043671608,36,1
0.6339308768510818,37,1
0.6459124386310577,38,1
0.6511075645685196,39,1
0.6487179696559906,40,1
0.637569397687912,41,1
0.6249856129288673,42,1
0.6166590303182602,43,1
0.6024531722068787,44,1
0.5880063697695732,45,1
0.5749341398477554,46,1
0.5808597207069397,47,1
0.5780623704195023,48,1
0.5805399864912033,49,1
0.5827318653464317,50,1
0.5836829468607903,51,1
0.5855805799365044,52,1
0.5945495963096619,53,1
0.5984774008393288,54,1
0.6055398881435394,55,1
0.6084991171956062,56,1
0.6105067059397697,57,1
0.6187168136239052,58,1
0.6272367686033249,59,1
0.6340794265270233,60,1
0.636610358953476,61,1
0.6356240808963776,62,1
0.6357613950967789,63,1
0.6385844796895981,64,1
0.6456798911094666,65,1
0.6504346281290054,66,1
0.6464197337627411,67,1
0.6539449840784073,68,1
0.6716308146715164,69,1
0.6867229640483856,70,1
0.6996154636144638,71,1
0.7148994952440262,72,1
0.7202287912368774,73,1
0.7224845290184021,74,1
0.7334265559911728,75,1
0.738349661231041,76,1
0.7379429787397385,77,1
0.7383790165185928,78,1
0.7441200166940689,79,1
0.7480819523334503,80,1
0.7519351541996002,81,1
0.7540114521980286,82,1
0.7535493671894073,83,1
0.7502329349517822,84,1
0.7436719685792923,85,1
0.7376194149255753,86,1
0.7331435680389404,87,1
0.7307339608669281,88,1
0.7273748219013214,89,1
0.7254290282726288,90,1
0.7196137011051178,91,1
0.7203438580036163,92,1
0.7129217386245728,93,1
0.7063178420066833,94,1
0.6982609778642654,95,1
0.6913242340087891,96,1
0.6839013695716858,97,1
0.6722942590713501,98,1
0.6613955199718475,99,1
0.6614196747541428,100,1
0.6622425019741058,101,1
0.6562398374080658,102,1
0.6456779390573502,103,1
0.6414824426174164,104,1
0.6355654150247574,105,1
0.6319911777973175,106,1
0.6306274384260178,107,1
0.6360386908054352,108,1
0.6464376598596573,109,1
0.6555072963237762,110,1
0.6587839275598526,111,1
0.6583798825740814,112,1
0.6583897769451141,113,1
0.6546281725168228,114,1
0.6433588862419128,115,1
0.6465415060520172,116,1
0.6429911702871323,117,1
0.6347629427909851,118,1
0.6262717694044113,119,1
0.6238875165581703,120,1
0.6165641993284225,121,1
0.606714740395546,122,1
0.6031163036823273,123,1
0.6002416610717773,124,1
0.6146562471985817,125,1
0.6198678314685822,126,1
0.6121506094932556,127,1
0.6067047268152237,128,1
0.6037770211696625,129,1
0.5967947542667389,130,1
0.6070101633667946,131,1
0.610608421266079,132,1
0.6097199097275734,133,1
0.6075733527541161,134,1
0.5919651463627815,135,1
0.5898289233446121,136,1
0.5876249149441719,137,1
0.5862514674663544,138,1
0.5858600065112114,139,1
0.5858578085899353,140,1
0.5824327170848846,141,1
0.5828272700309753,142,1
0.5785820931196213,143,1
0.5751553326845169,144,1
0.5786335170269012,145,1
0.582160085439682,146,1
0.5849490240216255,147,1
0.5807288363575935,148,1
0.5759383887052536,149,1
0.6755644977092743,0,2
0.6772868931293488,1,2
0.6761397570371628,2,2
0.6742895096540451,3,2
0.6734290719032288,4,2
0.6765853315591812,5,2
0.6798873096704483,6,2
0.6807443350553513,7,2
0.6820304989814758,8,2
0.6865266859531403,9,2
0.6906274408102036,10,2
0.6866978406906128,11,2
0.6796620935201645,12,2
0.6794185191392899,13,2
0.6824000030755997,14,2
0.6788225322961807,15,2
0.6667714864015579,16,2
0.6655881255865097,17,2
0.6677054613828659,18,2
0.6542515903711319,19,2
0.6376090198755264,20,2
0.6225277706980705,21,2
0.6136198490858078,22,2
0.6052282229065895,23,2
0.5969896391034126,24,2
0.5949841737747192,25,2
0.6004712358117104,26,2
0.6117558255791664,27,2
0.6147383376955986,28,2
0.6151532679796219,29,2
0.6121554598212242,30,2
0.6078343465924263,31,2
0.6070232316851616,32,2
0.6140588372945786,33,2
0.6106378734111786,34,2
0.6063958257436752,35,2
0.6165587529540062,36,2
0.6243827566504478,37,2
0.6404348462820053,38,2
0.6445194631814957,39,2
0.644086480140686,40,2
0.6364608854055405,41,2
0.6280340403318405,42,2
0.6158562377095222,43,2
0.6024945080280304,44,2
0.5885897278785706,45,2
0.5763302817940712,46,2
